car_id,average_battery_level
500.0,0.0729336077990736
585.0,0.0917663874992577
1860.0,0.0853984412545607
769.0,0.0396242063779126
1927.0,0.0389116054736568
421.0,0.0714809267700526
724.0,0.0268959353683814
273.0,0.0577900169052154
717.0,0.0114624394055593
968.0,0.0099496310186556
392.0,0.0515199720519442
994.0,0.0141427077893837
2046.0,0.0502255308802941
1068.0,0.0742538216180819
1019.0,0.0236876069933884
332.0,0.0629721045774715
779.0,0.0350439655880292
964.0,0.0361533742850847
1965.0,0.0170052436611953
1012.0,0.0140313796453626
810.0,0.0421698364227884
1566.0,0.0294460950562158
944.0,0.0573080432440108
1041.0,0.0648100643527516
1162.0,0.0211808013586254
833.0,0.0558365037455123
928.0,0.0120931327587686
1281.0,0.0325480508885109
77.0,0.0095466774083134
1450.0,0.0806796536168061
123.0,0.0150777408506684
1368.0,0.0442948844145193
522.0,0.0394955215289161
1174.0,0.0482744548515511
192.0,0.0179810270287081
1078.0,0.0103674854540448
1798.0,0.0121893118942715
895.0,0.0425050769542991
286.0,0.0068213619494414
1413.0,0.0019640741759325
1913.0,0.0659846409397695
1859.0,0.0153317039584582
707.0,0.0781688494692394
807.0,0.0491179927518458
465.0,0.0467421996864734
795.0,0.0527465527921847
606.0,0.0178055818254039
352.0,0.0229010074781516
675.0,0.0155611167403362
1639.0,0.0383038823205993
940.0,0.025325629063176
1344.0,0.0159672949319994
1320.0,0.0331684056044702
331.0,0.00430090880343
1248.0,0.0122237171665417
1195.0,0.0329625139415438
662.0,0.0397093206948425
1741.0,0.0020833546885689
358.0,0.0282482010123984
1929.0,0.0359250112291229
233.0,0.0450821799861013
653.0,0.0312007513506479
1347.0,0.006918410397182
1114.0,0.0133302373794211
827.0,0.0386435989245283
528.0,0.0415071536991875
1024.0,0.0497525580936249
49.0,0.0129759862457729
899.0,0.0423661533778641
54.0,0.0133870991191836
1071.0,0.0557617547840268
266.0,0.0081487645614449
1959.0,0.0029671713133901
1327.0,0.0026325890079276
1836.0,0.0113965163415308
430.0,0.0091151327762636
1905.0,0.0460104550917815
408.0,0.0587389985979629
1577.0,0.0192284452434502
806.0,0.0073859711996043
564.0,0.0242000822715805
613.0,0.0191758169956055
1789.0,0.0436885712992761
1247.0,0.0052439619731028
1331.0,0.0158089455866482
1326.0,0.007201127613983
1678.0,0.0245380987982717
157.0,0.0167113437935943
761.0,0.0421787854382852
973.0,0.0044315003859931
576.0,0.0406545762685668
641.0,0.0366799555517008
2057.0,0.0310462976745331
1074.0,0.0310181381543408
1267.0,0.084914595853249
1805.0,0.0466460370375387
435.0,0.0547705292676314
310.0,0.0179119022153506
1840.0,0.0169806240992585
1475.0,0.0399804287323368
1466.0,0.0015495859768906
1127.0,0.0083817561340009
100.0,0.0113391103914158
578.0,0.0299354148495006
356.0,0.0152543574983913
